episode,timestep,reward
1,576,-2598706965.5703
3,1152,-2665488318.4865
5,1728,-2904244330.9235
7,2304,-2720409977.168
9,2880,-2606752384.449
11,3456,-2457061977.1234
13,4032,-2599342444.1688
