episode,timestep,reward
2,17520,-18681970589.6605
4,35040,-18839200024.2327
6,52560,-18499877877.7837
8,70080,-16191938017.5634
10,87600,-15955156832.162
13,105120,-15506570126.0773
15,122640,-13682528071.5615
17,140160,-13408537469.5732
19,157680,-12945783894.7104
21,175200,-10936452817.1828
23,192720,-10981166262.55
26,210240,-9908738666.6264
28,227760,-8307368370.9479
30,245280,-8340212613.4179
32,262800,-7037479414.5762
34,280320,-5776032589.6537
36,297840,-5793416439.6162
39,315360,-4330618697.0666
41,332880,-3272890002.8101
43,350400,-3280950457.8762
45,367920,-3331856732.4592
47,385440,-3285509215.1876
49,402960,-3292712153.8911
