episode,timestep,reward
1,16128,-11303617300.6579
3,32256,-11245540049.6665
5,48384,-10917319525.3415
7,64512,-10789159745.3964
9,80640,-10325699947.8947
11,96768,-9277316604.2106
13,112896,-9150476898.1642
15,129024,-9106318016.7857
17,145152,-8914657876.0515
19,161280,-7786581075.7744
21,177408,-7512393408.302
23,193536,-7506591471.2888
25,209664,-7387391900.9885
27,225792,-6683626235.8343
29,241920,-6094947337.6911
31,258048,-5942862670.0207
33,274176,-5996001539.9552
35,290304,-5626273128.9765
37,306432,-4699747017.1084
39,322560,-4639498808.9197
41,338688,-4557674979.3731
43,354816,-4545233699.796
45,370944,-3612803517.8577
47,387072,-3312651886.5568
49,403200,-3296105106.0832
51,419328,-3212812928.9637
53,435456,-2678843522.9444
55,451584,-2018150043.2294
57,467712,-2009343648.281
59,483840,-1982196271.9686
61,499968,-1854060191.8973
63,516096,-812405176.9417
65,532224,-799877837.294
67,548352,-794729304.938
69,564480,-794323433.0725
71,580608,-809632577.9781
73,596736,-791972706.8931
75,612864,-785660295.5134
77,628992,-769608355.0586
79,645120,-776408904.458
81,661248,-783969956.5302
83,677376,-761372524.6613
85,693504,-766601332.8107
87,709632,-776825738.3453
89,725760,-765259204.412
91,741888,-771358058.1978
93,758016,-754167830.4304
95,774144,-761513012.9291
97,790272,-771484289.1648
99,806400,-759856123.8466
101,822528,-757089418.5721
103,838656,-760570513.3328
105,854784,-756967444.9259
