episode,timestep,reward
1,576,-797375170.0283
3,1152,-802620858.3943
5,1728,-877887683.8764
7,2304,-832481830.843
9,2880,-777228091.7351
11,3456,-715014442.7858
13,4032,-716398094.412
15,4608,-672903692.8948
17,5184,-713902469.3714
19,5760,-707999856.6048
21,6336,-641023842.2792
23,6912,-672110069.5607
25,7488,-646861718.0941
27,8064,-612608107.2228
29,8640,-536219968.71
31,9216,-531513489.698
33,9792,-541304882.0551
35,10368,-523067761.5795
37,10944,-427926907.9174
39,11520,-435014318.8991
41,12096,-444698953.2387
43,12672,-467213656.4794
45,13248,-379002194.0433
47,13824,-325864573.6414
49,14400,-351733770.9587
51,14976,-344092402.6763
53,15552,-314896408.7096
55,16128,-284132492.8261
57,16704,-274877562.3068
59,17280,-281831538.123
61,17856,-270851100.2963
63,18432,-214467636.9461
65,19008,-219646018.3909
67,19584,-231559567.8077
69,20160,-241529238.1602
71,20736,-219824906.8969
73,21312,-232770726.0196
75,21888,-208745062.6438
77,22464,-217316230.4468
79,23040,-225850869.9612
81,23616,-231247025.5419
83,24192,-210256213.5641
85,24768,-222211246.2685
87,25344,-218768929.2779
89,25920,-222144581.8104
91,26496,-226209034.0319
93,27072,-212668025.8373
