episode,timestep,reward
1,576,-271398791.3939
3,1152,-277000670.2812
5,1728,-281418436.3747
7,2304,-279378235.447
9,2880,-275533821.8954
11,3456,-267058484.8522
13,4032,-275603673.5238
15,4608,-270419944.046
17,5184,-268933266.7086
19,5760,-269018012.9745
21,6336,-269620492.804
23,6912,-272095018.2869
25,7488,-272290829.7914
27,8064,-268989887.6202
29,8640,-271591192.3191
31,9216,-269653423.0992
33,9792,-268413557.9369
35,10368,-269942266.686
37,10944,-269482758.5995
39,11520,-268798311.9423
41,12096,-268042706.8419
43,12672,-264653039.242
45,13248,-266927562.3058
47,13824,-267098695.6185
49,14400,-264743738.0629
51,14976,-264127850.7992
53,15552,-264037193.1646
55,16128,-263817876.5461
57,16704,-263227089.0818
59,17280,-266059677.8529
61,17856,-263847058.5214
63,18432,-259938526.5865
65,19008,-261216932.1034
67,19584,-261386128.769
69,20160,-260702648.9014
71,20736,-260615904.315
73,21312,-261342775.6106
75,21888,-263509312.8608
77,22464,-264063695.0285
79,23040,-263780623.7752
