episode,timestep,reward
1,210240,-37800564187.6551
3,420480,-37063409476.7169
5,630720,-34396615240.9075
7,840960,-31660601574.4181
9,1051200,-28870771089.4861
11,1261440,-26329333887.4848
13,1471680,-24092191369.8361
15,1681920,-21801591489.4027
17,1892160,-19428994660.1594
19,2102400,-17110001009.0971
21,2312640,-14596324411.0984
23,2522880,-12626474658.5383
25,2733120,-11075199103.1312
27,2943360,-10147407109.239
