episode,timestep,reward
2,1168,-884195181.722
4,2336,-894970244.6688
6,3504,-863483636.1008
8,4672,-819613192.6231
10,5840,-903764392.0221
12,7008,-913913751.7906
14,8176,-890640117.3286
16,9344,-884090543.6391
18,10512,-844538535.2785
20,11680,-792044439.9947
22,12848,-825630079.3294
