episode,timestep,reward
1,16128,-78743990782.1421
3,32256,-78058952635.0566
5,48384,-75737037218.8901
7,64512,-73995153379.0184
9,80640,-72492719017.0655
11,96768,-71458679381.4389
13,112896,-70103872980.4149
15,129024,-69414089242.3355
17,145152,-68104192819.7208
19,161280,-67015363212.1581
21,177408,-66681508408.5086
23,193536,-66449008014.8078
25,209664,-65710664374.4291
27,225792,-64672980437.2112
29,241920,-65036505833.0368
31,258048,-63583511035.3175
33,274176,-58155856752.5037
35,290304,-56875065460.1689
37,306432,-58133407997.9207
39,322560,-57527793873.9135
41,338688,-56814852980.2107
43,354816,-56895967544.6828
45,370944,-57709522877.9206
47,387072,-57208500280.8249
49,403200,-57199577820.1807
51,419328,-56352677915.1294
53,435456,-57027715449.0108
55,451584,-57326659932.7687
