episode,timestep,reward
2,17520,-25094277507.2746
4,35040,-25288753833.8454
6,52560,-24867110649.8135
8,70080,-20253323644.832
10,87600,-19792013337.9514
13,105120,-18853617353.8897
15,122640,-14984457675.5795
17,140160,-14723903543.6266
19,157680,-13745945385.7451
21,175200,-9730033268.8601
23,192720,-9740813913.8824
26,210240,-7702090880.1256
28,227760,-4707006629.9177
30,245280,-4711787277.0166
32,262800,-3191325615.3701
34,280320,-1680819756.7616
36,297840,-1621103412.6517
39,315360,-1597859351.3974
41,332880,-1540787821.4452
43,350400,-1530111197.2964
45,367920,-1508973287.9132
47,385440,-1477007998.4816
49,402960,-1460139875.9696
52,420480,-1440208261.4024
54,438000,-1406295646.9517
56,455520,-1433842882.1953
