episode,timestep,reward
1,16128,-671062157.9737
3,32256,-660033367.4051
5,48384,-657091900.5655
7,64512,-648522918.6097
9,80640,-600107085.6425
11,96768,-357539017.0793
13,112896,-351248964.1894
15,129024,-362167092.3431
17,145152,-350262952.6861
19,161280,-190987896.7092
21,177408,-154889567.1285
23,193536,-157380040.0169
25,209664,-156496435.3897
27,225792,-158847096.3985
