episode,timestep,reward
1,576,-1352411546.0166
3,1152,-1357084580.7307
5,1728,-1460260160.1473
7,2304,-1399707656.8371
9,2880,-1317192029.9168
11,3456,-1347303765.5267
13,4032,-1343764505.2441
15,4608,-1257490316.3497
17,5184,-1330585693.5689
19,5760,-1467826799.3979
21,6336,-1365256088.8533
23,6912,-1456490085.8381
25,7488,-1399896661.9364
27,8064,-1434713974.657
29,8640,-1371861808.6751
31,9216,-1345044801.8484
33,9792,-1379111178.861
35,10368,-1377506308.4633
37,10944,-1362292519.0284
39,11520,-1387426831.4991
41,12096,-1384939025.4475
43,12672,-1481040419.5164
45,13248,-1427890897.8858
47,13824,-1288525950.1828
49,14400,-1409426458.4898
51,14976,-1339394922.557
53,15552,-1395399622.8297
55,16128,-1436678584.7178
57,16704,-1409786522.477
59,17280,-1478004555.1588
61,17856,-1431289867.2022
