episode,timestep,reward
1,576,-317502711.3532
3,1152,-336540274.4992
5,1728,-355034443.5474
7,2304,-335589313.0563
9,2880,-316763964.7588
11,3456,-275975086.519
13,4032,-295820897.3379
15,4608,-265913387.9444
17,5184,-261949868.2054
19,5760,-261422011.8723
21,6336,-247353538.7067
23,6912,-255494223.747
25,7488,-255795167.73
27,8064,-231093096.2298
29,8640,-226432534.1951
31,9216,-220633594.1325
33,9792,-204907307.7181
35,10368,-201249632.0719
37,10944,-182145929.7435
39,11520,-174674971.4474
41,12096,-173902687.3319
43,12672,-163066757.0866
45,13248,-150678778.0812
47,13824,-137567734.4131
49,14400,-136903187.6788
51,14976,-129247965.7118
53,15552,-123722970.8083
55,16128,-114123279.9155
57,16704,-114462279.6837
59,17280,-120517172.0851
61,17856,-109522885.5488
63,18432,-88004257.0586
65,19008,-86729909.1
67,19584,-88841663.9417
69,20160,-81177872.3941
71,20736,-69485464.5843
73,21312,-64498336.5866
75,21888,-65548561.2827
77,22464,-66213342.7303
79,23040,-63897080.3714
81,23616,-62820808.2073
83,24192,-60137885.0387
85,24768,-56293770.2465
87,25344,-54925001.5947
89,25920,-53987610.2861
91,26496,-55396541.3027
93,27072,-55999792.3806
95,27648,-53777092.1484
97,28224,-50535373.6004
99,28800,-52001959.8434
101,29376,-55818159.8288
103,29952,-54383269.6424
105,30528,-48669895.2701
107,31104,-45946077.6377
109,31680,-43468156.6198
111,32256,-45022166.5959
113,32832,-43125600.4991
115,33408,-43790165.9569
117,33984,-42801836.7583
119,34560,-42069693.0777
121,35136,-40983307.1349
123,35712,-41495220.3379
125,36288,-39381017.7634
127,36864,-34860980.4506
129,37440,-35624635.598
131,38016,-32681312.0149
133,38592,-35472983.4005
135,39168,-34723470.784
137,39744,-33859294.0234
139,40320,-33498737.4436
141,40896,-35493175.2739
143,41472,-35162545.054
145,42048,-31878690.4308
147,42624,-33228276.1431
149,43200,-32590776.2231
151,43776,-34410277.3349
